Day,Shelter Name,Ratio
279,Hope Mission - Intox Centre,1.0714285714285714
185,McCauley Lodge - Short Term Supportive,0.9827586206896551
320,Urban Manor - Short Term Supportive,0.7733333333333333
286,Edwardson Place - Short Term Supportive,0.6666666666666666
324,Hope Mission - Women WEmS,0.6285714285714286
119,Hope Mission - Mat Emergency Shelter Program,0.725
231,Hope Mission - Intox Centre,1.0714285714285714
321,Sparling Lodge - Short Term Supportive,1.0
80,McCauley Lodge - Short Term Supportive,1.0
243,McCauley Lodge - Short Term Supportive,1.0
232,Salvation Army Addictions and Residential Centre - Short Term Supportive,0.9662162162162162
94,Hope Mission - Mat Emergency Shelter Program,0.77
132,Hope Mission - Women WEmS,0.5142857142857142
124,Hope Mission - Youth,0.5833333333333334
216,Hope Mission - Women WEmS,0.7142857142857143
214,Salvation Army Addictions and Residential Centre - Short Term Supportive,0.918918918918919
122,Hope Mission - Youth,0.6666666666666666
235,Hope Mission - Intox Centre,1.0285714285714285
363,WEAC,1.0
298,Hope Mission - Mat Emergency Shelter Program,0.83
320,Hope Mission - Herb Jamieson Centre,0.764
122,Hope Mission - Intox Centre,1.0571428571428572
155,McCauley Lodge - Short Term Supportive,0.9827586206896551
41,Hope Mission - Mat Emergency Shelter Program,0.64
89,Hope Mission - Herb Jamieson Centre,0.936
226,Elizabeth House - Short Term Supportive,0.75
49,Hope Mission - Youth,0.36666666666666664
60,Hope Mission - Women WEmS,0.7142857142857143
173,McCauley Lodge - Short Term Supportive,1.0
10,McCauley Lodge - Short Term Supportive,0.9827586206896551
181,Salvation Army Addictions and Residential Centre - Short Term Supportive,0.9527027027027027
12,Hope Mission - Herb Jamieson Centre,0.708
199,WEAC,0.8
154,Hope Mission - Women WEmS,0.4714285714285714
258,Hope Mission - Women WEmS,0.8285714285714286
286,Sparling Lodge - Short Term Supportive,1.0
61,WEAC,0.7727272727272727
100,Hope Mission - Intox Centre,1.0571428571428572
37,Hope Mission - Women WEmS,0.6714285714285714
83,Edwardson Place - Short Term Supportive,0.7083333333333334
305,Hope Mission - Mat Emergency Shelter Program,0.765
130,Salvation Army Addictions and Residential Centre - Short Term Supportive,0.7297297297297297
44,Hope Mission - Youth,0.45
324,Hope Mission - Herb Jamieson Centre,1.096
317,Hope Mission - Mat Emergency Shelter Program,0.79
100,Elizabeth House - Short Term Supportive,0.7916666666666666
343,Sparling Lodge - Short Term Supportive,1.0
125,WEAC,0.40816326530612246
174,McCauley Lodge - Short Term Supportive,1.0
94,Urban Manor - Short Term Supportive,0.92
169,WEAC,0.9242424242424242
132,Sparling Lodge - Short Term Supportive,1.0
108,McCauley Lodge - Short Term Supportive,1.0
139,Sparling Lodge - Short Term Supportive,1.0
266,Hope Mission - Herb Jamieson Centre,0.632
198,Urban Manor - Short Term Supportive,0.8
233,Hope Mission - Herb Jamieson Centre,0.88
134,WEAC,0.9848484848484849
342,Hope Mission - Youth,0.6166666666666667
365,Hope Mission - Women WEmS,0.5857142857142857
197,McCauley Lodge - Short Term Supportive,1.0
287,Hope Mission - Mat Emergency Shelter Program,0.81
320,Hope Mission - Women WEmS,0.8
40,Elizabeth House - Short Term Supportive,0.9166666666666666
10,Salvation Army Addictions and Residential Centre - Short Term Supportive,0.972972972972973
90,Hope Mission - Herb Jamieson Centre,0.74
110,WEAC,0.9242424242424242
110,Urban Manor - Short Term Supportive,0.9733333333333334
315,Hope Mission - Herb Jamieson Centre,0.976
238,Urban Manor - Short Term Supportive,0.92
132,Hope Mission - Mat Emergency Shelter Program,0.755
269,Salvation Army Addictions and Residential Centre - Short Term Supportive,0.9459459459459459
19,WEAC,0.6938775510204082
33,Hope Mission - Intox Centre,0.9714285714285714
157,Urban Manor - Short Term Supportive,0.96
327,Urban Manor - Short Term Supportive,0.7733333333333333
147,Hope Mission - Intox Centre,0.9857142857142858
326,Hope Mission - Women WEmS,1.042857142857143
110,Hope Mission - Herb Jamieson Centre,1.132
103,Elizabeth House - Short Term Supportive,0.7916666666666666
278,WEAC,0.9393939393939394
280,Hope Mission - Youth,0.65
11,WEAC,0.9591836734693877
149,Hope Mission - Mat Emergency Shelter Program,0.69
226,Hope Mission - Mat Emergency Shelter Program,0.745
328,Hope Mission - Youth,0.75
232,Urban Manor - Short Term Supportive,0.92
350,Hope Mission - Youth,0.4
282,McCauley Lodge - Short Term Supportive,0.9482758620689655
310,Hope Mission - Youth,0.25
124,Hope Mission - Youth,0.8833333333333333
15,Edwardson Place - Short Term Supportive,0.75
100,Sparling Lodge - Short Term Supportive,1.0
205,Edwardson Place - Short Term Supportive,1.0
102,Hope Mission - Youth,0.43333333333333335
343,Urban Manor - Short Term Supportive,0.9866666666666667
315,Hope Mission - Herb Jamieson Centre,0.668
150,Hope Mission - Intox Centre,0.8142857142857143
115,Sparling Lodge - Short Term Supportive,1.0
217,Hope Mission - Herb Jamieson Centre,0.584
349,McCauley Lodge - Short Term Supportive,1.0
45,McCauley Lodge - Short Term Supportive,1.0
66,Sparling Lodge - Short Term Supportive,1.0
223,Sparling Lodge - Short Term Supportive,1.0
256,Urban Manor - Short Term Supportive,0.92
277,Hope Mission - Herb Jamieson Centre,0.756
326,Salvation Army Addictions and Residential Centre - Short Term Supportive,0.8648648648648649
196,Urban Manor - Short Term Supportive,0.72
4,Salvation Army Addictions and Residential Centre - Short Term Supportive,0.8513513513513513
165,Hope Mission - Mat Emergency Shelter Program,0.78
301,Sparling Lodge - Short Term Supportive,1.0
162,Hope Mission - Mat Emergency Shelter Program,0.845
125,Hope Mission - Intox Centre,1.0142857142857142
277,Hope Mission - Women WEmS,1.0571428571428572
61,Urban Manor - Short Term Supportive,0.88
31,Hope Mission - Women WEmS,0.5714285714285714
255,Sparling Lodge - Short Term Supportive,1.0
266,Hope Mission - Women WEmS,0.5428571428571428
179,Hope Mission - Youth,0.18333333333333332
160,McCauley Lodge - Short Term Supportive,1.0
35,WEAC,0.9696969696969697
239,Urban Manor - Short Term Supportive,0.7466666666666667
133,Edwardson Place - Short Term Supportive,0.8333333333333334
126,McCauley Lodge - Short Term Supportive,1.0
339,Hope Mission - Herb Jamieson Centre,0.732
58,Hope Mission - Women WEmS,0.8
96,Urban Manor - Short Term Supportive,0.9066666666666666
332,Elizabeth House - Short Term Supportive,0.8333333333333334
276,McCauley Lodge - Short Term Supportive,1.0
217,Hope Mission - Youth,0.4166666666666667
101,Hope Mission - Herb Jamieson Centre,0.564
339,McCauley Lodge - Short Term Supportive,1.0
46,Salvation Army Addictions and Residential Centre - Short Term Supportive,0.9594594594594594
359,Sparling Lodge - Short Term Supportive,1.0
147,Hope Mission - Women WEmS,0.7285714285714285
268,Hope Mission - Women WEmS,0.7428571428571429
156,McCauley Lodge - Short Term Supportive,1.0
173,Salvation Army Addictions and Residential Centre - Short Term Supportive,0.7364864864864865
348,Hope Mission - Mat Emergency Shelter Program,0.66
348,Urban Manor - Short Term Supportive,0.8666666666666667
157,Salvation Army Addictions and Residential Centre - Short Term Supportive,0.972972972972973
249,Salvation Army Addictions and Residential Centre - Short Term Supportive,0.9527027027027027
239,Hope Mission - Women WEmS,0.4857142857142857
260,Sparling Lodge - Short Term Supportive,1.0
94,Hope Mission - Youth,0.4166666666666667
110,WEAC,0.9393939393939394
153,Urban Manor - Short Term Supportive,0.9333333333333333
137,Salvation Army Addictions and Residential Centre - Short Term Supportive,0.8040540540540541
244,Hope Mission - Youth,0.6833333333333333
306,Elizabeth House - Short Term Supportive,0.75
234,Hope Mission - Youth,0.4666666666666667
167,Urban Manor - Short Term Supportive,0.8666666666666667
266,Hope Mission - Women WEmS,0.9
213,WEAC,0.8133333333333334
163,Edwardson Place - Short Term Supportive,0.8333333333333334
219,Hope Mission - Women WEmS,0.7142857142857143
69,Hope Mission - Youth,0.6833333333333333
234,McCauley Lodge - Short Term Supportive,0.9655172413793104
352,WEAC,0.9545454545454546
272,Hope Mission - Women WEmS,0.5285714285714286
9,Hope Mission - Women WEmS,0.9285714285714286
169,Salvation Army Addictions and Residential Centre - Short Term Supportive,0.9797297297297297
264,Hope Mission - Mat Emergency Shelter Program,0.785
64,Salvation Army Addictions and Residential Centre - Short Term Supportive,0.8783783783783784
48,Hope Mission - Intox Centre,1.0714285714285714
66,Elizabeth House - Short Term Supportive,0.875
112,WEAC,0.9242424242424242
45,Hope Mission - Mat Emergency Shelter Program,0.68
166,Sparling Lodge - Short Term Supportive,1.0
191,Hope Mission - Herb Jamieson Centre,0.812
292,Hope Mission - Youth,0.25
235,McCauley Lodge - Short Term Supportive,1.0
350,Hope Mission - Women WEmS,0.8
151,McCauley Lodge - Short Term Supportive,1.0
257,Hope Mission - Intox Centre,0.9857142857142858
161,Urban Manor - Short Term Supportive,0.9466666666666667
273,Hope Mission - Herb Jamieson Centre,0.496
231,Hope Mission - Mat Emergency Shelter Program,0.76
320,WEAC,0.8533333333333334
265,Hope Mission - Women WEmS,0.9285714285714286
313,Salvation Army Addictions and Residential Centre - Short Term Supportive,0.7027027027027027
274,Hope Mission - Women WEmS,1.0857142857142856
108,Urban Manor - Short Term Supportive,0.9066666666666666
226,WEAC,0.8636363636363636
268,Sparling Lodge - Short Term Supportive,1.0
178,Hope Mission - Youth,0.6833333333333333
194,Hope Mission - Intox Centre,0.9428571428571428
236,Hope Mission - Youth,0.4
179,Hope Mission - Women WEmS,0.5571428571428572
199,Urban Manor - Short Term Supportive,0.9333333333333333
13,Hope Mission - Intox Centre,0.9714285714285714
301,Hope Mission - Youth,0.16666666666666666
158,Salvation Army Addictions and Residential Centre - Short Term Supportive,0.6891891891891891
214,Hope Mission - Mat Emergency Shelter Program,0.795
312,Hope Mission - Herb Jamieson Centre,0.956
54,Hope Mission - Intox Centre,0.9857142857142858
124,Edwardson Place - Short Term Supportive,0.625
313,Hope Mission - Youth,0.7
195,WEAC,0.8636363636363636
50,Elizabeth House - Short Term Supportive,0.9166666666666666
141,Sparling Lodge - Short Term Supportive,1.0
203,WEAC,0.9393939393939394
176,Sparling Lodge - Short Term Supportive,1.0
117,Sparling Lodge - Short Term Supportive,1.0
150,McCauley Lodge - Short Term Supportive,1.0
8,Hope Mission - Intox Centre,0.9142857142857143
167,Elizabeth House - Short Term Supportive,0.7916666666666666
102,Salvation Army Addictions and Residential Centre - Short Term Supportive,0.972972972972973
197,Urban Manor - Short Term Supportive,0.8666666666666667
158,Urban Manor - Short Term Supportive,0.96
190,Hope Mission - Intox Centre,1.0
191,Urban Manor - Short Term Supportive,0.8
327,Hope Mission - Mat Emergency Shelter Program,0.735
213,Hope Mission - Women WEmS,0.45714285714285713
326,Hope Mission - Mat Emergency Shelter Program,0.865
350,Hope Mission - Mat Emergency Shelter Program,0.865
32,Elizabeth House - Short Term Supportive,0.9166666666666666
346,Hope Mission - Herb Jamieson Centre,0.776
195,Hope Mission - Youth,0.36666666666666664
126,Urban Manor - Short Term Supportive,0.76
215,McCauley Lodge - Short Term Supportive,1.0
217,Salvation Army Addictions and Residential Centre - Short Term Supportive,0.9121621621621622
199,Hope Mission - Women WEmS,0.9142857142857143
213,Hope Mission - Herb Jamieson Centre,0.688
242,Hope Mission - Herb Jamieson Centre,0.672
42,Edwardson Place - Short Term Supportive,0.7083333333333334
148,Hope Mission - Mat Emergency Shelter Program,0.625
176,Hope Mission - Intox Centre,1.0285714285714285
192,Hope Mission - Women WEmS,0.6857142857142857
310,WEAC,0.9242424242424242
7,Hope Mission - Women WEmS,0.8571428571428571
99,Hope Mission - Mat Emergency Shelter Program,0.76
346,Hope Mission - Women WEmS,0.8285714285714286
309,Salvation Army Addictions and Residential Centre - Short Term Supportive,0.8581081081081081
241,Salvation Army Addictions and Residential Centre - Short Term Supportive,0.9121621621621622
205,Urban Manor - Short Term Supportive,0.7866666666666666
203,Hope Mission - Women WEmS,0.6
79,Urban Manor - Short Term Supportive,0.9333333333333333
72,Hope Mission - Mat Emergency Shelter Program,0.74
333,McCauley Lodge - Short Term Supportive,1.0
285,Sparling Lodge - Short Term Supportive,1.0
133,Hope Mission - Women WEmS,0.7857142857142857
67,Hope Mission - Mat Emergency Shelter Program,0.68
293,McCauley Lodge - Short Term Supportive,1.0
75,McCauley Lodge - Short Term Supportive,0.9827586206896551
278,Hope Mission - Women WEmS,0.6714285714285714
187,Hope Mission - Herb Jamieson Centre,0.748
215,Hope Mission - Women WEmS,0.8428571428571429
119,WEAC,NaN
225,McCauley Lodge - Short Term Supportive,0.9655172413793104
33,Hope Mission - Intox Centre,1.0571428571428572
181,Hope Mission - Youth,0.45
22,Hope Mission - Women WEmS,0.8428571428571429
124,McCauley Lodge - Short Term Supportive,1.0
144,WEAC,0.8666666666666667
262,Hope Mission - Intox Centre,1.0142857142857142
331,WEAC,0.8533333333333334
316,Salvation Army Addictions and Residential Centre - Short Term Supportive,0.8243243243243243
89,Hope Mission - Mat Emergency Shelter Program,0.715
225,McCauley Lodge - Short Term Supportive,1.0
186,Sparling Lodge - Short Term Supportive,1.0
205,Hope Mission - Women WEmS,0.9428571428571428
228,Hope Mission - Intox Centre,0.7142857142857143
359,Hope Mission - Youth,0.26666666666666666
72,Hope Mission - Intox Centre,1.0714285714285714
31,Hope Mission - Youth,0.35
191,Hope Mission - Youth,0.36666666666666664
280,Elizabeth House - Short Term Supportive,0.7916666666666666
206,Hope Mission - Youth,0.36666666666666664
82,Hope Mission - Mat Emergency Shelter Program,0.66
79,Salvation Army Addictions and Residential Centre - Short Term Supportive,0.972972972972973
146,Hope Mission - Women WEmS,0.5
93,Sparling Lodge - Short Term Supportive,0.95
204,Hope Mission - Herb Jamieson Centre,0.616
221,Hope Mission - Mat Emergency Shelter Program,0.75
43,Hope Mission - Mat Emergency Shelter Program,0.8
165,Hope Mission - Women WEmS,0.7
213,Hope Mission - Youth,0.45
188,Salvation Army Addictions and Residential Centre - Short Term Supportive,0.7094594594594594
349,Salvation Army Addictions and Residential Centre - Short Term Supportive,0.6891891891891891
229,Elizabeth House - Short Term Supportive,0.8333333333333334
136,Elizabeth House - Short Term Supportive,0.7916666666666666
167,Sparling Lodge - Short Term Supportive,0.95
119,Urban Manor - Short Term Supportive,0.9733333333333334
239,Hope Mission - Intox Centre,0.9285714285714286
90,McCauley Lodge - Short Term Supportive,1.0
122,Hope Mission - Women WEmS,0.8
230,McCauley Lodge - Short Term Supportive,1.0
156,Hope Mission - Youth,0.4666666666666667
358,WEAC,0.9545454545454546
160,Urban Manor - Short Term Supportive,0.9466666666666667
308,Hope Mission - Youth,0.7666666666666667
64,Salvation Army Addictions and Residential Centre - Short Term Supportive,0.9391891891891891
134,Hope Mission - Herb Jamieson Centre,0.62
131,Hope Mission - Women WEmS,0.7
1,Hope Mission - Intox Centre,1.0571428571428572
97,Hope Mission - Women WEmS,0.8142857142857143
39,McCauley Lodge - Short Term Supportive,1.0
209,Hope Mission - Mat Emergency Shelter Program,0.675
301,WEAC,0.9696969696969697
21,Hope Mission - Mat Emergency Shelter Program,0.65
97,Hope Mission - Herb Jamieson Centre,0.708
92,Hope Mission - Mat Emergency Shelter Program,0.8
329,McCauley Lodge - Short Term Supportive,0.9827586206896551
330,Salvation Army Addictions and Residential Centre - Short Term Supportive,0.8716216216216216
334,Urban Manor - Short Term Supportive,0.96
246,WEAC,0.9090909090909091
202,Hope Mission - Mat Emergency Shelter Program,0.785
173,McCauley Lodge - Short Term Supportive,0.9827586206896551
51,Urban Manor - Short Term Supportive,0.7866666666666666
247,Sparling Lodge - Short Term Supportive,1.0
192,Salvation Army Addictions and Residential Centre - Short Term Supportive,0.7162162162162162
85,Hope Mission - Herb Jamieson Centre,0.572
363,Salvation Army Addictions and Residential Centre - Short Term Supportive,0.9527027027027027
304,Salvation Army Addictions and Residential Centre - Short Term Supportive,0.9459459459459459
174,Urban Manor - Short Term Supportive,0.88
181,Hope Mission - Intox Centre,1.0857142857142856
276,Hope Mission - Herb Jamieson Centre,0.592
49,Salvation Army Addictions and Residential Centre - Short Term Supportive,0.7027027027027027
145,Hope Mission - Intox Centre,0.7571428571428571
213,Hope Mission - Women WEmS,0.6285714285714286
324,Hope Mission - Youth,0.3333333333333333
137,Hope Mission - Women WEmS,1.1857142857142857
61,Hope Mission - Women WEmS,0.6285714285714286
186,Hope Mission - Youth,0.43333333333333335
115,WEAC,0.8787878787878788
292,Hope Mission - Mat Emergency Shelter Program,0.79
99,Hope Mission - Herb Jamieson Centre,0.66
318,Hope Mission - Youth,0.6333333333333333
12,Urban Manor - Short Term Supportive,0.8533333333333334
170,WEAC,0.6122448979591837
85,Hope Mission - Mat Emergency Shelter Program,0.57
227,WEAC,0.8939393939393939
130,McCauley Lodge - Short Term Supportive,1.0
307,Sparling Lodge - Short Term Supportive,1.0
84,Hope Mission - Herb Jamieson Centre,1.052
189,Hope Mission - Mat Emergency Shelter Program,0.705
142,Edwardson Place - Short Term Supportive,0.75
142,McCauley Lodge - Short Term Supportive,1.0
26,Hope Mission - Mat Emergency Shelter Program,0.525
132,Urban Manor - Short Term Supportive,0.92
231,Hope Mission - Herb Jamieson Centre,0.672
17,WEAC,1.0303030303030303
262,Hope Mission - Youth,0.4
120,WEAC,0.88
93,WEAC,0.88
34,Edwardson Place - Short Term Supportive,0.75
113,Salvation Army Addictions and Residential Centre - Short Term Supportive,0.972972972972973
129,Hope Mission - Women WEmS,0.9571428571428572
145,Sparling Lodge - Short Term Supportive,1.0
218,Hope Mission - Youth,0.7833333333333333
2,Hope Mission - Herb Jamieson Centre,0.896
121,Hope Mission - Herb Jamieson Centre,0.908
326,Hope Mission - Herb Jamieson Centre,0.8
59,Hope Mission - Herb Jamieson Centre,0.424
150,Hope Mission - Herb Jamieson Centre,0.536
12,Hope Mission - Intox Centre,1.0714285714285714
223,Sparling Lodge - Short Term Supportive,1.0
233,McCauley Lodge - Short Term Supportive,1.0
113,Hope Mission - Intox Centre,0.8285714285714286
162,McCauley Lodge - Short Term Supportive,1.0
252,WEAC,0.8787878787878788
304,Hope Mission - Youth,0.6
182,McCauley Lodge - Short Term Supportive,1.0
77,WEAC,0.9090909090909091
286,McCauley Lodge - Short Term Supportive,0.9482758620689655
154,Hope Mission - Youth,0.3333333333333333
318,Elizabeth House - Short Term Supportive,0.8333333333333334
69,Hope Mission - Herb Jamieson Centre,0.72
36,Hope Mission - Intox Centre,0.9571428571428572
221,Edwardson Place - Short Term Supportive,0.7083333333333334
173,WEAC,0.6122448979591837
351,Hope Mission - Mat Emergency Shelter Program,0.635
224,Hope Mission - Mat Emergency Shelter Program,0.7
215,Hope Mission - Intox Centre,1.0285714285714285
284,McCauley Lodge - Short Term Supportive,0.9827586206896551
131,Hope Mission - Women WEmS,0.6428571428571429
107,Hope Mission - Youth,0.3333333333333333
94,McCauley Lodge - Short Term Supportive,1.0
311,Hope Mission - Mat Emergency Shelter Program,0.835
206,Urban Manor - Short Term Supportive,0.7866666666666666
352,McCauley Lodge - Short Term Supportive,1.0
336,Urban Manor - Short Term Supportive,0.7866666666666666
60,Sparling Lodge - Short Term Supportive,1.0
302,Hope Mission - Youth,0.5333333333333333
138,Salvation Army Addictions and Residential Centre - Short Term Supportive,0.972972972972973
243,Hope Mission - Intox Centre,0.9857142857142858
6,Elizabeth House - Short Term Supportive,0.8333333333333334
272,Hope Mission - Intox Centre,1.0
39,Hope Mission - Intox Centre,1.1142857142857143
111,Hope Mission - Intox Centre,0.7428571428571429
114,Hope Mission - Herb Jamieson Centre,0.664
185,Hope Mission - Herb Jamieson Centre,0.66
75,McCauley Lodge - Short Term Supportive,1.0
218,Sparling Lodge - Short Term Supportive,1.0
169,Edwardson Place - Short Term Supportive,0.875
309,Hope Mission - Women WEmS,1.3142857142857143
283,WEAC,0.9393939393939394
320,Hope Mission - Herb Jamieson Centre,1.148
191,WEAC,0.9242424242424242
356,McCauley Lodge - Short Term Supportive,1.0
20,Hope Mission - Youth,0.4
270,Hope Mission - Herb Jamieson Centre,0.544
250,Hope Mission - Intox Centre,1.1142857142857143
54,Hope Mission - Herb Jamieson Centre,0.944
282,Hope Mission - Mat Emergency Shelter Program,0.765
357,Hope Mission - Youth,0.5666666666666667
298,Hope Mission - Intox Centre,0.8714285714285714
278,Hope Mission - Herb Jamieson Centre,0.888
37,Urban Manor - Short Term Supportive,0.8
168,Hope Mission - Herb Jamieson Centre,0.56
351,Hope Mission - Herb Jamieson Centre,0.84
193,Hope Mission - Mat Emergency Shelter Program,0.785
5,McCauley Lodge - Short Term Supportive,1.0
144,WEAC,0.9393939393939394
32,Hope Mission - Mat Emergency Shelter Program,0.79
47,WEAC,1.0303030303030303
338,Hope Mission - Herb Jamieson Centre,0.736
60,Sparling Lodge - Short Term Supportive,0.95
241,Hope Mission - Herb Jamieson Centre,0.752
284,McCauley Lodge - Short Term Supportive,0.9482758620689655
139,WEAC,0.9393939393939394
355,McCauley Lodge - Short Term Supportive,1.0
111,McCauley Lodge - Short Term Supportive,1.0
22,Hope Mission - Intox Centre,1.0285714285714285
221,Salvation Army Addictions and Residential Centre - Short Term Supportive,0.9459459459459459
259,Sparling Lodge - Short Term Supportive,1.0
2,Hope Mission - Mat Emergency Shelter Program,0.625
127,Hope Mission - Mat Emergency Shelter Program,0.815
43,Hope Mission - Women WEmS,0.9571428571428572
117,WEAC,NaN
295,Hope Mission - Intox Centre,0.9571428571428572
96,Sparling Lodge - Short Term Supportive,0.95
264,Hope Mission - Herb Jamieson Centre,0.616
45,Hope Mission - Women WEmS,0.8428571428571429
271,WEAC,0.9545454545454546
127,Hope Mission - Women WEmS,0.7285714285714285
143,Elizabeth House - Short Term Supportive,0.8333333333333334
248,McCauley Lodge - Short Term Supportive,1.0
349,Hope Mission - Herb Jamieson Centre,1.14
337,Hope Mission - Intox Centre,1.042857142857143
267,Hope Mission - Youth,0.36666666666666664
129,Hope Mission - Intox Centre,0.9
30,Hope Mission - Herb Jamieson Centre,1.152
301,McCauley Lodge - Short Term Supportive,0.9655172413793104
113,Hope Mission - Mat Emergency Shelter Program,0.805
218,Hope Mission - Youth,0.5666666666666667
175,Hope Mission - Mat Emergency Shelter Program,0.74
58,Salvation Army Addictions and Residential Centre - Short Term Supportive,0.8783783783783784
